,,,,,,,,,,,latitude,longitude,group,,
,,,,,,,,,,,40.71932,-73.98995,0,,
,,,,,,,,,,,40.83935,-73.32388,0,,
,,,,,,,,,,,40.86502,-73.13054,0,,
,,,,,,,,,,,41.53071,-73.89339,0,,
,,,,,,,,,,,40.91709,-72.70946,0,,
,,,,,,,,,,,40.76371,-73.9773,0,,
,,,,,,,,,,,40.70455,-74.00919,0,,
,,,,,,,,,,,40.89854,-73.33077,0,,
,,,,,,,,,,,40.74854,-73.04797,0,,
,,,,,,,,,,,42.13631,-75.90445,0,,
,,,,,,,,,,,40.86383,-73.32113,0,,
,,,,,,,,,,,42.4406,-76.49705,0,,
,,,,,,,,,,,40.74038,-73.99117,0,,
,,,,,,,,,,,42.78364,-73.91362,0,,
,,,,,,,,,,,40.58107,-74.16651,0,,
,,,,,,,,,,,40.95061,-73.82764,0,,
,,,,,,,,,,,42.64633,-73.69735,0,,
,,,,,,,,,,,40.84907,-73.63492,0,,
,,,,,,,,,,,41.96269,-73.989,0,,
,,,,,,,,,,,40.76239,-73.96574,0,,
,,,,,,,,,,,43.97651,-75.94418,0,,
,,,,,,,,,,,44.69675,-73.48341,0,,
,,,,,,,,,,,40.7614,-73.96786,0,,
,,,,,,,,,,,43.03214,-78.6972,0,,
,,,,,,,,,,,40.75933,-73.95289,0,,
,,,,,,,,,,,40.74914,-73.98383,0,,
,,,,,,,,,,,40.75945,-73.96998,0,,
,,,,,,,,,,,43.08078,-77.63326,0,,
,,,,,,,,,,,42.68946,-73.85047,0,,
,,,,,,,,,,,44.2885,-73.98528,0,,
,,,,,,,,,,,42.67841,-73.83036,0,,
,,,,,,,,,,,42.65229,-73.77619,0,,
,,,,,,,,,,,40.77865,-73.95604,0,,
,,,,,,,,,,,41.09883,-74.01501,0,,
,,,,,,,,,,,40.74342,-73.9182,0,,
,,,,,,,,,,,43.06996,-76.17306,0,,
,,,,,,,,,,,40.62638,-73.73607,0,,
,,,,,,,,,,,43.21039,-77.45984,0,,
,,,,,,,,,,,41.09751,-73.95703,0,,
,,,,,,,,,,,40.82338,-73.94261,0,,
,,,,,,,,,,,40.72756,-74.00741,0,,
,,,,,,,,,,,40.73368,-74.00613,0,,
,,,,,,,,,,,40.75696,-73.9759,0,,
,,,,,,,,,,,40.75404,-73.97859,0,,
,,,,,,,,,,,40.77137,-73.98259,0,,
,,,,,,,,,,,40.74866,-73.98561,0,,
,,,,,,,,,,,40.76477,-73.97709,0,,
,,,,,,,,,,,40.68623,-73.991,0,,
,,,,,,,,,,,40.62113,-74.02582,0,,
,,,,,,,,,,,40.6947,-73.98696,0,,
,,,,,,,,,,,42.72662,-73.79539,0,,
,,,,,,,,,,,40.84505,-73.2749,0,,
,,,,,,,,,,,40.70935,-73.86932,0,,
,,,,,,,,,,,41.13432,-73.79325,0,,
,,,,,,,,,,,40.88578,-73.90997,0,,
,,,,,,,,,,,42.44156,-76.48364,0,,
,,,,,,,,,,,40.7099,-73.8305,0,,
,,,,,,,,,,,40.71887,-74.0025,0,,
,,,,,,,,,,,41.00306,-73.85689,0,,
,,,,,,,,,,,40.9043,-73.07376,0,,
,,,,,,,,,,,40.73533,-73.87491,0,,
,,,,,,,,,,,42.79559,-77.81937,0,,
